station_name,lat,lon
Aberdeen  Station,-32.1668599,150.8919596
Adamstown  Station,-32.9337786,151.7200237
Albion Park  Station,-34.5629223,150.7986248
Allawah  Station,-33.9696745,151.1144976
Arlington Light Rail,-33.90184201,151.1380364
Arncliffe  Station,-33.936435,151.1473489
Artarmon  Station,-33.808856,151.1851425
Ashfield  Station,-33.88764966,151.1258486
Asquith  Station,-33.6886841,151.1080776
Auburn  Station,-33.84919388,151.032886
Austinmer  Station,-34.3064771,150.9293372
Awaba  Station,-33.0129364,151.5416169
Banksia  Station,-33.94528003,151.1404597
Bankstown  Station,-33.91786642,151.0345629
Bank Street Light Rail,-33.87088913,151.1925023
Barangaroo  Station,-33.85964325,151.202633
Bardwell Park  Station,-33.9316025,151.1248844
Bargo  Station,-34.2910963,150.580115
Bathurst  Station,-33.4255502,149.5832097
Beecroft  Station,-33.7498713,151.0663031
Bellambi  Station,-34.36332337,150.9098858
Bella Vista  Station,-33.7304254,150.9439635
Bell  Station,-33.50564362,150.2788816
Belmore  Station,-33.9171961,151.0887104
Benaud Oval Light Rail,-33.80080709,151.0045579
Berala  Station,-33.8719154,151.0322942
Beresfield  Station,-32.7989679,151.6579012
Berowra  Station,-33.6235384,151.1531676
Berry  Station,-34.7802973,150.6966853
Beverly Hills  Station,-33.9490787,151.0810471
Bexley North  Station,-33.9375479,151.1134896
Birrong  Station,-33.8933152,151.0240303
Blackheath  Station,-33.6332273,150.2843174
Blacktown  Station,-33.76845,150.9074065
Blaxland  Station,-33.7436266,150.6096243
Bomaderry  Station,-34.85381421,150.6097489
Bombo  Station,-34.6585437,150.8538509
Bondi Junction  Station,-33.8912429,151.248455
Booragul  Station,-32.9715645,151.6048344
Bowral  Station,-34.4780183,150.416713
Branxton  Station,-32.6622131,151.3456985
Bridge Street Light Rail,-33.8640975,151.2074526
Broadmeadow  Station,-32.9231318,151.7344455
Bullaburra  Station,-33.7235406,150.4147355
Bulli  Station,-34.334431,150.9147602
Bundanoon  Station,-34.6561123,150.2988374
Burradoo  Station,-34.4942325,150.3980743
Burwood  Station,-33.8771445,151.1040382
Cabramatta  Station,-33.8950021,150.9388097
Campbelltown  Station,-34.0636278,150.8143901
Campsie  Station,-33.9105708,151.1026511
Canley Vale  Station,-33.8872029,150.9436605
Canterbury  Station,-33.911509,151.1185039
Capitol Square Light Rail,-33.879328,151.205915
Cardiff  Station,-32.9416524,151.6628275
Caringbah  Station,-34.0415962,151.1227396
Carlingford Light Rail,-33.7820114,151.0472302
Carlton  Station,-33.9682381,151.1244983
Carramar  Station,-33.8843192,150.9615133
Castle Hill  Station,-33.7314865,151.0078028
Casula  Station,-33.9501572,150.9118445
Central Chalmers Street Light Rail,-33.8842246,151.2076848
Central Grand Concourse Light Rail,-33.8824517,151.2067764
Central  Station,-33.88265332,151.2062087
Chatswood  Station,-33.7974806,151.180939
Cheltenham  Station,-33.75557201,151.0785713
Cherrybrook  Station,-33.736709,151.0319686
Chester Hill  Station,-33.8835449,150.9994175
Childrens Hospital Light Rail,-33.80259137,150.9930415
Chinatown Light Rail,-33.8785764,151.205559
Church Street Light Rail,-33.812785,151.0036515
Circular Quay Light Rail,-33.8613593,151.2107193
Circular Quay  Station,-33.8613593,151.2107193
Civic Light Rail,-32.9270332,151.7718646
Clarendon  Station,-33.6086191,150.7879859
Clyde  Station,-33.8359746,151.017066
Coalcliff  Station,-34.242165,150.9774905
Cockle Creek  Station,-32.9426956,151.6237158
Coledale  Station,-34.2895651,150.9432304
Como  Station,-34.0043476,151.068064
Concord West  Station,-33.8484033,151.0856114
Coniston  Station,-34.4377384,150.8852807
Convention Light Rail,-33.871334,151.19961
Corrimal  Station,-34.3757279,150.9048557
Cowan  Station,-33.5935721,151.1716446
Cringila  Station,-34.4670421,150.8782854
Cronulla  Station,-34.0557283,151.1514553
Crown Street Light Rail,-32.9263655,151.7772145
Crows Nest  Station,-33.8257404,151.1993535
